Course Name,About This Course
Guided Project: Build a Movie Recommender with Django V2,"Django is a highly popular Python web framework designed for rapid and full-stack web app development. Many popular apps are built on Django, such as YouTube, Spotify, Dropbox, edX, and others. | Ideal for new and seasoned web developers, in this hands-on guided project, you will gain practical experience with the Django web framework by building a movie recommendation app. You will learn how to describe the fundamentals of Django, download and run a Django template app, and load data into an SQLite Database. You will also learn how to use Django Admin and Django HTML templates. After completion, you will have a solid and practical understanding of how to use the Django web framework. You’ll develop hands-on skills that employers value. | To complete this project, you will be provided with a Cloud-based IDE that already has many technologies, including Django, preinstalled, saving you the time and hassle of installation and setup. Also, note that this platform works best with current versions modern. browsers."
C Programming: Using Linux Tools and Libraries,"This seventh and final course in the C Programming with Linux Professional Certificate program will allow you to develop and use your C code within the Linux operating system. Using libraries in C is a fundamental concept when it comes to sharing code with others. In addition to compiling and linking, you will also learn how to pass arguments to an executable program. | Within moments you will be coding hands-on in a new browser tool developed for this course providing instant feedback on your code. No need to install anything! | As you embark on your future career as a programmer, you will be able to continue your coding adventures with professional coding environments used by C programmers around the world. | At the end of this short course, you will have completed the C Programming with Linux Professional Certificate program, unlocking the door to a career in computer engineering. | This course has received financial support from the Patrick & Lina Drahi Foundation."
Fundamentals of Python,"Here you will find the complete program of the course: | WEEK 1 - Introduction | This section explains how to install Python in both Windows and MacOS machines. Also, it shows how we can interact with Python through graphical frontends available on all systems. In particular, Spyder and Jupyter Notebook are discussed. | WEEK 2 - Algorithms and Objects Python Objects | This section introduces the concept of algorithms in a very intuitive way and defines the very first objects we can work with in Python such as integers and floats. We will see how to work with these objects including strings of text. We will also see ways to print information on the screen and how to interpret errors in the code. | WEEK 3 - More Complex Python Objects | Integers, floats and strings are very simple objects. This section introduces more complex objects such as lists and dictionaries which are a collection of either of the previous objects. We will also discuss how to use and dispatch specific methods associated to a given object type. | WEEK 4 - Conditional Statements and Loops | This section explains how we can compare objects through conditional statement. Also, we will see how we can tell Python to execute a series of instruction in an automated way through loops. This is a rather important aspect since very often we are required to carry out repeated operations over a collection of objects. | WEEK 5 - Functions | This section introduces Python functions. This is a very convenient way to customize our codes and tailor them according to the job we are doing. We will see how to build very simple functions and how we can call them. Moreover, we will also show how we can nest functions to be even more precise in defining our tasks. | WEEK 6 - Data Frames | This section introduces additional Python modules, in particular, pandas. pandas is the state of the art module to deal with spreadsheet-like data structures called Data.Frame. We will cover standard operations to show why is important to be able to use specialized modules."
Herramientas para el Análisis de Big Data,"Cuando se trata de herramientas para el análisis de datos, siempre tenemos las siguientes preguntas: ¿Cuál es la diferencia entre tantas herramientas que existen?¿Cuál es la mejor?¿Cuál deberia aprender? | Las funciones que realizan los científicos de datos incluyen la identificación de preguntas relevantes, la recopilación de datos de diferentes fuentes de datos, la organización de datos, la transformación de datos a la solución y la comunicación de estos hallazgos para tomar mejores decisiones comerciales. | Las herramientas de ciencia de datos o Data Science pueden ser de dos tipos: | Las herramientas para el primer tipo, tienen que ver con el área de las tecnologías de información en donde se busca que la persona tenga conocimientos de algún lenguaje de programación como R o Python y comunmente a estas personas se les denomina científicos de datos. | Las herramientas que son para los usuarios comerciales se enfocan en automatizar el análisis de datos; en este tipo, los usuarios tienen conocimientos básicos de un lenguaje de programación, pero un fuerte conocimiento del área de dominio; por lo que se han empezado a llamar ciudadanos científicos de datos. | Estas herramientas te permitirán tomar las mejores decisiones basadas en el análisis de datos (también conocido como inteligencia de negocios)."
Exploring GraphQL: A Query Language for APIs,"GraphQL is revolutionizing the way developers are building websites… but what exactly does that mean? | GraphQL is an open source query language and a runtime to fulfill those queries with your existing data. In this course, you’ll learn what GraphQL is and why it is getting so much attention from software engineers. You’ll learn what its advantages are over REST, what types of web architecture to use it with, and why it benefits both frontend and backend developers. You’ll get the chance to practice GraphQL queries in an interactive playground. You’ll also learn advanced topics such as how to implement a GraphQL server on the backend, how to use a GraphQL server with a client, and how to keep your GraphQL server secure. The course content was originally created by Prisma, and updated and maintained by Novvum. | If you are a programmer, this course will help you gain the skills you need to get started using GraphQL for a small project or professionally in production. You’ll feel comfortable getting started with the right tools for your use case. | If you are nontechnical, this course will help you communicate with developers and participate in conversations about GraphQL. You will understand when and why to use GraphQL for a project. | Start your GraphQL journey today!"
Introducción a la programación en C: Tipos de datos y estructuras,"Este curso en línea te permitirá aprender los conceptos básicos que te ayudarán a desarrollar las habilidades de programación necesarias para iniciarte en el lenguaje C. | En este curso de informática: | Se trata de un curso en línea muy práctico donde empezarás a programar desde cero. Cada concepto vendrá acompañado de ejercicios para poner en práctica tu aprendizaje y convertirte en un experto programando en C. | Es un MOOC completamente introductorio, que podrás realizar tanto si no has programado nunca como si ya tienes experiencia con otros lenguajes. | Este curso en línea es la primera parte del programa de Certificación Profesional:Introducción a la programación en C."
Beginning Llamafile,"In this course, you will: | The course empowers you to harness state-of-the-art NLP models in your projects through a convenient and performant API interface, focusing on the practical aspects of serving large language models in production environments using the efficient and flexible llama.cpp framework."
Modelling with Differential Equations,"All models are (systems of) ordinary differential equations. In this course you will learn more about those by watching video lectures and reading short texts, and more importantly, by completing well-crafted hands-on exercises in which you can practice modeling yourself! | You will also learn how to implement Euler's method in a (Python) program. | In the verified track of this course you will additionally consolidate the new skills with graded problem sets about four other real-life applications. | This course is aimed at Bachelor students from Mathematics, Engineering and Science disciplines. However it is for anyone who would want to use differential equations for solving real-world problems, including business owners, researchers and students."
Introduction to LLM Vulnerabilities,"As large language models (LLMs) revolutionize the AI landscape, it is crucial to understand and address the unique security challenges they present. This comprehensive course is designed to equip you with the knowledge and skills needed to identify, mitigate, and prevent vulnerabilities in your LLM applications. Through a series of in-depth lessons, you will: | Whether you are a developer, data scientist, or AI enthusiast, this course will provide you with the essential tools to ensure the integrity and safety of your LLM applications. By the end of the course, you will be well-versed in the latest security measures and be able to confidently deploy robust, secure AI solutions. | Don't let vulnerabilities undermine the potential of your LLM applications. Join us today and take the first step towards becoming an expert in LLM security. Enroll now and unlock the knowledge you need to safeguard your AI projects in an increasingly complex digital landscape."
Cloud Data Engineering,No description available
Recherche opérationnelle: optimiser ses décisions,"La recherche opérationnelle (RO) regroupe l’ensemble des méthodes, modèles et outils mathématiques et informatiques permettant d’élaborer de meilleures décisions. | L’objectif principal du MOOC «Recherche opérationnelle : optimiser ses décisions» est de vous présenter, d’abord, les généralités de la recherche opérationnelle et ses principaux domaines d’applications. Vous serez ensuite initié aux techniques plus spécifiques d’optimisation linéaire, en nombres entiers, et non linéaire, pour conclure sur les avancées en optimisation avec apprentissage, bénéficiant des derniers développements en apprentissage automatique. | La recherche opérationnelle tente ainsi de répondre à de multiples problèmes d’optimisation, tels que : | ● Comment maximiser sa marge de profit tout en restant concurrentiel? | ● Comment minimiser ses coûts d’opération? | ● Comment assurer un développement durable, en tenant compte de la limite des ressources disponibles? Etc. | Vous en apprendrez davantage sur l’utilisation de différents types de modèles et techniques pour améliorer la prise de décisions à l’aide de cas diversifiés et interdisciplinaires issus de différents secteurs d’activités : transport et logistique, réseaux de télécommunication, santé, gestion d’entreprise, finance et énergie. | Le contenu de la formation est essentiellement axé sur la présentation des méthodes et principes qui sont illustrés par des exemples concrets. Deux cas pratiques vous permettront d’appliquer les méthodes en programmation linéaire. | Cette formation en ligne s’adresse principalement aux ingénieurs, décideurs, gestionnaires, responsables de projets ou tout apprenant ayant un intérêt pour la recherche opérationnelle. | Le cours est divisé en cinq modules que vous pourrez suivre à votre propre rythme. Vous pourrez tester votre compréhension avec de la rétroaction à l’aide d’un questionnaire dans chaque module. | Ce MOOC résulte d’une collaboration entre l’Institut de valorisation des données(IVADO) de l’Université de Montréal, duCentre interuniversitaire de recherche sur les réseaux d’entreprise, la logistique et le transport(CIRRELT) et duGroupe d’études et de recherche en analyse des décisions(GERAD). | Le contenu a été développé par des professeurs, ingénieurs et chercheurs ayant de l’expérience en R et D académique et industrielle. | Dans ce MOOC, le genre masculin est utilisé comme générique, dans le seul but de ne pas alourdir le texte."
Graph Algorithms,"If you have ever used a navigation service to find the optimal route and estimate time to destination, you've used algorithms on graphs. | Graphs arise in various real-world situations, as there are road networks, water and electricity supply networks, computer networks and, most recently, social networks! If you're looking for the fastest time to get to work, cheapest way to connect set of computers into a network or efficient algorithm to automatically find communities and opinion leaders in Facebook, you're going to work with graphs and algorithms on graphs. | In this course, part of the Algorithms and Data Structures MicroMasters program, you will learn what a graph is and its most important properties. You’ll learn several ways to traverse graphs and how you can do useful things while traversing the graph in some order. We will also talk about shortest paths algorithms. We will finish with minimum spanning trees, which are used to plan road, telephone and computer networks and also find applications in clustering and approximate algorithms."
IT Fundamentals for Business Professionals: Programming,"This course is one of the 5 courses of an introductory business information systems series, designed to introduce you to the amazing world of Information Technology. | The series of courses is designed so that a professional in a field outside the information technologies (financial, administrative or managerial) acquires the basic knowledge in Information Technology to be able to interact more profitably with the computer and telecommunications specialists of your company or other corporations with which you are related, being able to specify requirements, evaluate workloads and monitor results in a much more effective way. | The syllabus of the series is based on the CLEP Information Systems and Computer Applications exam. | In this course you will learn the basics of software programming. We will address the basic logic behind any computer program, what types and structures of data and files are used, how object-oriented programming works, database management and SQL language and various concepts and guidelines in web development such as HTML, XML, CSS or javascript, among others. | By completing the series of 5 courses, you will be prepared to interact effectively with specialists in the Information Technology sector (and pass the CLEP ISCA exam if you wish)."
Rust Data Engineering,"Rust for Data Engineering: Efficient, Safe, and Concurrent Data Processing | This 4-week course dives deep into leveraging Rust for efficient and reliable data engineering workflows: | By the end, you'll gain practical experience building high-performance, secure data systems using Rust - preparing you for real-world data challenges."
Introducción a la gestión de proyectos informáticos,"Obtén una visión global de guías, procesos, técnicas y procedimientos de gran utilidad para la gestión del desarrollo de un sistema software de calidad. También adquirirás un conocimiento crucial para todo gestor o director de proyecto: técnicas de comunicación escrita, verbal, paraverbal y no verbal, de motivación, de coordinación de equipos y de liderazgo. Además, se utilizará el estándar de facto PMBOK para guiarte a través de las áreas de conocimiento y los procesos más relevantes y necesarios en la gestión y dirección de proyectos. | Al finalizar este curso tendrás las nociones básicas para planificar y realizar un seguimiento efectivo de un proyecto informáticos teniendo en cuenta restricciones de tiempo, coste y recursos, para liderar, coordinar, motivar y comunicarse eficazmente tanto con el equipo de trabajo como con el resto de involucrados en el proyecto, para realizar las adecuadas actividades de seguimiento y control del mismo, así como, en general, para aplicar las buenas prácticas de gestión como elemento de productividad y competitividad.Asimismo, se impartirán conocimientos de análisis y gestión de riesgos y aseguramiento y mejora de la calidad de productos y procesos. | Además, conocerás de manera holística los conceptos y procesos de PMBOK, guía y estándar de facto del conjunto de procesos y conocimientos para la gestión y dirección de proyectos. | Con todo ello, aprenderás la importancia de las actividades de gestión dentro de un proyecto software y su gran relevancia a la hora de llevar el trabajo a buen término, consiguiendo, además, la satisfacción de los involucrados. También cómo identificar los motivos más frecuentes de fracasos de proyectos software derivados de la gestión de los mismos y técnicas y métodos para prevenirlos."
Teaching Computational Thinking,"This course is designed to show you how to teach computational thinking to children aged 7-12+. The course will be valuable to you, whether you are new to this approach or an enthusiastic practitioner. It offers ways to explore computational thinking using simple tools readily available in classrooms and homes, such as cards, chalk and scales to engage with students. | Based on the content in the popular open-source CS Unplugged website (csunplugged.org), this course demonstrates how to teach computational thinking from unplugged to plugging-it-in with programming. | Each module will weave in the following:"
Teach computing: Moving from Scratch to Python,"Block-based programming languages like Scratch make it simple to learn and teach programming. But once your students have mastered it, it's time to move on to a text-based programming language such as Python. This online course will show you how. | You’ll discover how to transfer the programming and thinking skills learnt while using Scratch to Python. You’ll look at how to help your learners develop basic text-based programming skills, understand error messages and debug code. | The course will show you the power of text-based programming and give you the tools to support your students' transition."
Management of Marginal Lands and Carbon Sequestration estimation through Remote Sensing and GIS,"The aim of this course is that you will be able to better understand the concept of MLs and will be able to analyze large MLs extensions in a fast way. During the course, we will give you some recommendations for the manipulation of large datasets and we will teach you how to work with the MaiL Geoportal as a user. Within the course, you will have questions for self-evaluation after each video, weekly practice and a exam at the end of each unit. | The mechanics of the course are simple: follow the learning sequences proposed by the platform by watching the videos and asking the questions and activities that are proposed. In some cases, you will find optional readings that you can read to expand on the subject. | This course is designed in 5 units in which it is expected to transfer the results of the European project “Identifying Marginal Lands in Europe and strengthening their contribution potentialities in a CO2 sequestration strategy (MAIL)”. Project under the European Union's Horizon 2020 Marie Skłodowska-Curie research and innovation program (Grant Agreement No. 823805). All videos are based on the procedures followed in the MAIL project for Europe, which means that some of the procedures described may not be exactly transferable to other parts of the world."
El qué y el cómo de la gestión de Esports,"Los deportes electrónicos (Esports) o el gaming competitivo han crecido rápidamente en popularidad hasta convertirse en una industria multimillonaria. | **** |  |  | Nuestro curso de Gestión de Esports está diseñado para equiparte con el conocimiento y las habilidades necesarias para progresar en esta industria dinámica que crece rápidamente. Desde la gestión de equipos y eventos de Esports, hasta el marketing y la creación de contenidos, existen muchas maneras de involucrarse y construir una carrera gratificante. |  |  | ¡Prepárate para dejar tu huella en el apasionante mundo de los Esports! | **** |  |  | Recuerda obtener tu certificación de forma gratuita mediante el código de referencia 6FJGJOTX7MFH5M2H. | **** |  |  | Por qué aprender con nosotros: | El programa de Gestión de Esports y Desarrollo de juegos de HP, “HP Gaming Garage”, combina la herencia tecnológica e innovadora de HP con destacados expertos del mundo académico en el tema. | Uno de los programas educativos más completos sobre Esports y Gaming que acompaña al estudiante por un recorrido completo, desde el desarrollo hasta la gestión. | Módulos fáciles de seguir con muchos ejemplos y referencias reales de la industria. | Reconocimiento y aceptación en todo el mundo mediante una certificación verificable al finalizar con éxito cada curso. | Certificación gratuita mediante un código de referencia disponible en la página de cada curso."
Introducción a las tecnologías para la Educación,"Este es un curso destinado a profesores de todos los niveles. En él aprenderás a sacar partido de las nuevas tecnologías en tu labor docente para crear una experiencia de aprendizaje nueva y enriquecedora. Si eres profesor y quieres conocer la nueva enseñanza que viene, no puedes perdértelo. | Con un proyector de vídeo y un ordenador conectado a Internet se pueden hacer cosas increíbles en el aula. Incluso sin este equipamiento, es posible utilizar los distintos servicios y plataformas disponibles en Internet para crear una nueva y enriquecedora experiencia de aprendizaje. | En este curso conocerás multitud de plataformas y herramientas disponibles en Internet que permiten crear nuevas experiencias de enseñanza-aprendizaje, así como crear una comunicación increíblemente eficaz, tanto profesor-alumno como alumno-alumno. El aprendizaje con tecnología es multi-plataforma y multi-dispositivo, y se extiende más allá del aula, incluso de una forma global."
L'analyse de données UX,"Le « Big Data » et l'UX vous interpellent? Ce MOOC vous donnera les méthodes et outils pour analyser le spectre des données traitées en UX, de l'analyse qualitative aux analytiques Web. | Vous apprendrez à tirer parti des informations saillantes qui peuvent être extraites de ces données. Vous formulerez ainsi des recommandations ancrées dans un savoir empirique afin de créer des expériences optimales exemptes de frictions. | Ce cours, enseigné par des professeurs maintes fois primés, est une introduction aux méthodes et outils statistiques utiles à l'analyse des données UX. Il a été conçu pour être accessible à tous. | Aucune connaissance préalable en statistique n’est requise. Vous devez avoir accès au logiciel ""Excel"" pour compléter la certification (nécessaire à la complétion de l'examen). Venez découvrir ce qui se cache derrière l’analyse des données UX, avec ce cours ou en entreprenant le MicroMasters en Design et évaluation UX."
Data Preprocessing for Data Science,"The Data Preprocessing for Data Science course is a comprehensive introduction to the essential steps in preparing data for analysis and machine learning. This course covers key techniques and tools used to clean, transform, and reduce data, ensuring it is in the best possible shape for creating accurate and reliable models. This course will provide you with practical experience using Python and popular libraries like NumPy and scikit-learn."
Fundamentals of Cybersecurity with the TAME Range Training Platform,"Begin your journey into the realm of Cybersecurity with our premier course, built around the TAME Range Cyber Training and Simulation Platform. This state-of-the-art learning environment - developed by Israel Aerospace Industries (IAI) - a world leader in Cybersecurity - provides immersive and invaluable hands-on experience. Equip yourself with the knowledge and expertise to navigate the complex Cyber landscape and tackle real-world threats head-on. | Why Choose This Course? | Real-World Scenarios and Simulations: TAME Range simulates a wide array of Cyber threats, from malware and advanced persistent threats (APT) to DDoS attacks. This range of scenarios allows students to develop a broad set of skills, preparing them for a multitude of Cyber challenges. | Critical Thinking and Problem Solving: The dynamic nature of the Cyber scenarios in the TAME Range Simulation Platform challenge students to think on their feet and develop creative problem-solving skills. | Confidence in Handling Real Threats: After training on a platform that simulates real-world threats so closely, students build confidence in their ability to handle actual Cybersecurity challenges in their professional careers. | Adaptability to Learner's Pace: Students work through simulations at their own pace, ensuring they fully understand one scenario before moving on to the next. | Developed by IAI: Israel Aerospace Industries is a global leader in advanced technologies including defense, aerospace, and Cybersecurity. The world-class technological expertise of IAI validates the effectiveness and sophistication of the TAME Range Platform. | Continuous Improvement: A dedicated R&D department in the Cyber Division of Israel Aerospace ensures that the platform is not static. TAME Range evolves, adapts, and improves continuously, aligning with the dynamic nature of the cyber threat landscape | Course Highlights: | Comprehensive modules covering cyber threats, defense strategies, resilience building, and more. | Real-time feedback to refine your strategies and improve decision-making on the spot. | Exposure to ethical dimensions of cybersecurity, enhancing your understanding of the broader implications of cyber actions. | Training that emphasizes critical thinking, creative problem-solving, and adaptability. |  | Register now for an unparalleled cybersecurity learning experience. Whether you're new to the field or an experienced professional, this course promises to be a transformative learning experience. | "
Quantum Computer Systems Design II: Principles of Quantum Architecture,"This quantum computing course explores the basic design principles of today's quantum computer systems. In this course, students will learn to work with the IBM Qiskit software tools to write simple programs in Python and execute them on cloud-accessible quantum hardware. Topics covered in this course include: | Keywords: quantum computing, computer science, linear algebra, compiler, circuit optimization, python, qiskit, quantum algorithms, quantum technology, superposition, entanglement, qubit technology, superconducting qubit, transmon qubit, ion-trap qubit, photonic qubit, real quantum computers"
Get started with teaching computing,"During this course, you will investigate the rationale for teaching computing to primary school pupils, looking at how computing has shaped the world we live in and how computers influence all of our lives. You will examine the breadth of computing using activities from The Computing Curriculum, and in doing so, you will develop your subject knowledge in the main strands of The Computing Curriculum. As you progress through this course, you will reflect on your own teaching experience to ensure that your computing teaching includes effective differentiation and assessment, and is inclusive."
Software Construction: Data Abstraction,"This is the third course in theSoftware Development MicroMasters program. You will learn how to build larger and more complex software systems using the Java programming language. | The course begins with the topic of data abstraction - from specification to implementation. Particular attention is given to how to write robust tests using JUnit. Then the course expands on these ideas to explore how type hierarchies and polymorphism can be used to decrease redundancy in your code. The course wraps up with a discussion of how to design robust classes. | By the end of the course, you will have a solid foundation in designing software in Java, and be ready to move ontoSoftware Construction: Object-Oriented Design, where you will learn more complex design patterns and principles designing object-oriented programs. | Learners who enroll in the Verified track will receive staff grading for the course project and increased interaction with the instructors and staff."
E-Payment,"Electronic payments have become an integral part of our daily lives. This in-depth course is designed to give students a thorough grasp of various e-payment systems, their underlying technology, and the security measures and regulations that ensure their safe and efficient use. | Students will learn about credit cards, third-party payment gateways (PayPal and Stripe), mobile payment systems (Alipay, WeChat Pay, Google Pay, Samsung Pay using NFC), and cryptocurrencies (Bitcoin, Ethereum, Central Bank Digital Currency (CBDC)),and more in this course. They will gain insight into the security mechanisms and cryptographic protocols used to protect these systems, such as encryptions, TLS/SSL, HTTPS, digital signatures, hash functions, and digital certificates. Selected examples will be used to demonstrate how these technologies are used in these e-payment systems. | Finally, how various e-payment systems, including existing bitcoin and the upcoming CBDC, will interact with Web3 and the metaverse will be discussed. Students will also learn about e-payment and cryptocurrency-based technology regulatory concerns and governance, as well as impending industry developments. ~~~~"
Computer Graphics II: Rendering,"Today, computer graphics is a central part of our lives, in movies, games, computer-aided design, virtual simulators, visualization and even imaging products and cameras. This course teaches the basics of computer graphics rendering, that is of great recent relevance in industry, and that apply to all of these domains. | Students will learn to create very realistic computer-generated images of 3D scenes, with ray and path tracing. The course follows on from CSE 167, Foundations of computer graphics, to delve into the details of high-quality physically-based rendering, creating the most realistic and beautiful computer-generated images, culminating in a state-of-the-art path tracer with multiple importance sampling. The projects will be as follows (each counting for 25% of the grade, a passing score will be 60%)"
Guided Project: Get Started with Data Science in Agriculture V2,"Data science tools have revolutionized the way farmers and agricultural professionals approach their work. Python data analysis tools, such as pandas and seaborn, enable farmers to make data-driven decisions using soil, water, and economic data accounts. Pandas is a Python library used to simplify handling large sets of data. Seaborn is a data visualization library used to quickly create graphs. | This hands-on guided project will prepare you to handle agricultural datasets using these Python tools. You will develop job-ready skills, like how to download, prepare, analyze, and visualize data using Python libraries, including pandas and seaborn. You will learn how to build a trend line in order to forecast future trends, and finally, you will learn how to create interactive maps which show data change over time. | You will be provided with access to a Cloud-based IDE, which has all of the required software, including Python, pre-installed. All you need is a recent version of a modern web browser to complete this project."
"Fundamentals of Containers, Kubernetes and OpenShift","Fundamentals of Red Hat OpenShift for Developers is an introduction to deploying applications in the OpenShift ecosystem. This course provides the foundational knowledge to build, run, and manage containerized applications using OpenShift resources. We start by defining Kubernetes and OpenShift terminology and concepts as well as the advantages of containerized applications. Next, we will demonstrate various application deployment techniques using both the web console and the command line. After learning how to expose applications to external access, we will cover how to effectively manage the application lifecycle using various deployment strategies and dynamic configuration management. Lastly we will cover basic strategies for monitoring application health and troubleshooting deployments. Our goal is to provide you with a solid foundation in OpenShift, ensuring you can leverage its full potential in developing robust, scalable, and reliable applications."
Animation with JavaScript and jQuery,"With the general introduction of JavaScript in the first course, this course will focus on JavaScript libraries, specifically jQuery. The scripts will be geared toward Document Object Model (DOM) manipulation. | Course objectives include being introduced to the end product of the course – a landing page style website using jQuery elements to manipulate HTML documents and enhance user experience. Diving deeper into the landing page that will be created and break it out into individual jQuery projects. jQuery events and effects will be covered while exploring more jQuery’s relationship with HTML documents. Finally, a focus on plugins and continue to breakdown jQuery's ability to manipulate HTML and CSS."
Statistical and Probabilistic Foundations of AI,"The 'Statistical and Probabilistic Foundations of AI' course provides an accessible overview of the mathematics and statistics behind fundamental concepts of machine learning, data science, and artificial intelligence. | It covers descriptive and exploratory data analysis and a brief introduction to inferential statistics. Starting with summary statistics, it focuses on visualising data and the resulting key characteristics. This includes box plots, histograms, kernel density estimates, and regression. In addition, the course provides the principles of probability necessary to understand the methods used in inferential statistics and machine learning at an introductory level. Starting with the basic concepts of probability and elementary stochastic models, the course also covers more advanced topics of probability theory. These include multivariate distributions, generating functions, limit theorems, and a brief introduction to stochastic simulation. | Finally, a brief introduction to inferential statistics is given. Parametric and non-parametric inferential approaches are discussed. Point and interval estimation and hypothesis testing are also covered. | The presentation is rounded off with many examples and data that are analysed and visualised using R."
Data Science Ethics,"As patients, we care about the privacy of our medical record; but as patients, we also wish to benefit from the analysis of data in medical records. As citizens, we want a fair trial before being punished for a crime; but as citizens, we want to stop terrorists before they attack us. As decision-makers, we value the advice we get from data-driven algorithms; but as decision-makers, we also worry about unintended bias. Many data scientists learn the tools of the trade and get down to work right away, without appreciating the possible consequences of their work. | This course focused on ethics specifically related to data science will provide you with the framework to analyze these concerns. This framework is based on ethics, which are shared values that help differentiate right from wrong. Ethics are not law, but they are usually the basis for laws. | Everyone, including data scientists, will benefit from this course. No previous knowledge is needed."
Big Data Fundamentals,"Organizations now have access to massive amounts of data and it’s influencing the way they operate. They are realizing in order to be successful they must leverage their data to make effective business decisions. | In this course, part of the Big Data MicroMasters program, you will learn how big data is driving organisational change and the key challenges organizations face when trying to analyse massive data sets. | You will learn fundamental techniques, such as data mining and stream processing. You will also learn how to design and implement PageRank algorithms using MapReduce, a programming paradigm that allows for massive scalability across hundreds or thousands of servers in a Hadoop cluster. You will learn how big data has improved web search and how online advertising systems work. | By the end of this course, you will have a better understanding of the various applications of big data methods in industry and research."
"Unix Tools: Data, Software and Production Engineering","Processing information is the hallmark of all modern organizations, which are increasingly digital: absorbing, processing and generating information is a key element of their business.Being able to interact flexibly and efficiently with the underlying data and software systems is an indispensable skill. Knowledge of the Unix shell and its command-line tools boosts the effectiveness and productivity of software developers, IT professionals, and data analysts. | The Unix tools were designed, written, actively used and refined by the team that defined the modern computing landscape. They allow the performance of almost any imaginable computing task quickly and efficiently by judiciously combining key powerful concepts. The power of Unix tools for exploring, prototyping and implementing big data processing workflows, and software engineering tasks remains unmatched. Unix tools, running on hardware ranging from tiny IoT platforms to supercomputers, uniquely allow an interactive, explorative programming style, which is ideal for the efficient solution of many of the engineering and business analytics problems that we face every day. | Through the use of Unix tools: | The course is uniquely based on carefully-selected, interactive walk-through examples that demonstrate how each command operates in practice. The examples that we use involve problems that engineers and analysts face every day. | _ ___ Class Central: Best Online Courses of the Year (2021 edition)"
Introduction to DevSecOps for Managers,"""Introduction to DevSecOps for Managers"" is being offered at an inflection point in society. It has never been more fundamental in understanding how to not only rapidly deliver software that accomplishes businesses and mission objectives, but to also do so securely. This requires a firm understanding of not only the technology, but the culture and processes as well. The course focuses on providing managers and leaders with the foundational knowledge required to lead digital organizations through their DevSecOps journey and transformation. | This course is designed for any software manager, including those both experienced and new to the field of software development, who is seeking to continuously improve their knowledge. The course was created specifically to serve a wide range of backgrounds, targeting both those with very little prior knowledge of DevSecOps, while also challenging those who have years of experience. No prior technical knowledge is assumed as part of this course, as it is intended to form or improve a foundation for any software leader. | The course starts off by discussing what DevSecOps is and why it is important. It then provides an overview of DevSecOps technologies and principles using a simple-to-follow “Tech like I’m 10” approach. Next, the course covers topics such as value stream management, platform as product, and engineering organization improvement, all driving towards defining Continuous Delivery and explaining why it is so foundational for any organization. The course also focuses on culture, metrics, cybersecurity, and agile contracting. | This course prepares technical program managers for software-intensive jobs and roles. It outlines the fundamentals required in order to successfully transform any software development organization into a digital leader. This course will accelerate your journey as you continue to learn and grow your understanding of modern software delivery and security, as well as the complexities around managing development, security, and operations teams."
Digital Shield: Cybersecurity for Data and System Protection,"Digital Shield: Cybersecurity for Data and Systems Protection"" is a course designed to provide a solid introduction to the protection of sensitive data and the infrastructure supporting various information systems. | This MOOC was created in collaboration with CYBERPRO Global, a leading international provider of cyber education programs with over a decade of experience in training security personnel and delivering large-scale technological projects. Its aim is to educate participants on the fundamental concepts of information security and cybersecurity, including techniques and tactics necessary to protect information and computer systems from potential threats. | Participants will gain the ability to understand the basics of information security, including identifying vulnerabilities and threats, preventing cyber attacks, and implementing security measures and controls. They will also learn the primary techniques used by cybersecurity professionals to protect computer systems. | ""Digital Shield: Cybersecurity for Data and Systems Protection"" provides the key concepts, skills, and knowledge necessary to effectively protect computer systems against cyber threats and ensures a strong foundational level to enhance education in the field of information security."
Recommender Systems: Behind the Screen,"In this course, you will explore and learn the best methods and practices in recommender systems, which are an essential component of the online ecosystem. This course was developed by IVADO and HEC Montréal as part of a workshop that took place in Montreal. You will be accompanied throughout and given concrete examples by seven international experts from both Academia and Industry. | Recommender systems are algorithms that find patterns in user behaviour to improve personalized experiences and understand their environment. They are ubiquitous and are most often used to recommend items to users, for example, books, movies, but also possible friends, food recipes or even relevant documentation in large software projects, or papers of interest to scientists. | The content of this MOOC is an introduction to the field of recommender systems. The outline includes: machine learning for recommender systems followed by an introduction to evaluation methods; advanced modelling; contextual bandits; ranking methods; and fairness and discrimination in recommender systems. | The course is primarily intended for industry professionals and academics with basic (first-year undergraduate) knowledge in mathematics and programming (ideally Python). Graduate students in science and engineering (mainly those who are not yet familiar with machine learning and recommender systems) may find this content instructive and compelling. The content of this course will also be of great use to whomever uses or is interested in AI, in any other way. | We estimate that it takes 6 weeks to follow this class.The course is divided into relevant segments that you may watch at your own pace. There are comprehensive quizzes at the end of each segment to evaluate your understanding of the content. You will also practice recommender systems algorithms thanks to a tutorial guided by an expert. Also, a second self-practice module will be offered to participants who will register for the course with the Verified Certificate. | We welcome you to this special learning journey of Recommender Systems: Behind the Screen! | This course is brought to you by IVADO, HEC Montréal and Université de Montréal. | IVADO is a Québec-wide collaborative institute in the field of digital intelligence. | HEC Montréal is a French-language university offering internationally renowned management education and research. | Université de Montréal is one of the world’s leading research universities."
